Name,Agility,Reactions,total
M. Awad,42.0,53.0,137.0
Dong Xuesheng,64.0,64.0,190.0
J. Düker,65.0,67.0,198.0
A. Dreyer,86.0,66.0,230.0
P. Estupiñán,63.0,61.0,197.0
D. Mast,72.0,62.0,219.0
Andoni López,60.0,58.0,189.0
F. Canales,65.0,69.0,179.0
S. Scappini,58.0,55.0,168.0
S. Nutz,75.0,69.0,214.0
J. Byrne,78.0,63.0,209.0
Dilson Calegari,63.0,62.0,195.0
Cris,70.0,62.0,179.0
K. Pannewitz,58.0,64.0,153.0
B. Kopacz,52.0,55.0,164.0
H. Patronen,50.0,60.0,159.0
A. Capello,74.0,66.0,213.0
He Guan,50.0,54.0,161.0
V. Skjerve,52.0,62.0,175.0
S. Williams,74.0,59.0,206.0
A. Hughes,67.0,63.0,193.0
M. Jansen,65.0,63.0,195.0
R. Yates,68.0,64.0,194.0
D. Zeefuik,72.0,62.0,212.0
F. Della Rocca,70.0,67.0,201.0
Z. Alomerović,39.0,60.0,135.0
M. Gouaida,79.0,60.0,218.0
S. Adekugbe,74.0,57.0,211.0
N. Molina,72.0,62.0,213.0
M. Maâzou,69.0,66.0,218.0
M. Lieder,73.0,63.0,210.0
W. Kaptoum,81.0,52.0,197.0
M. Finotto,68.0,68.0,221.0
P. Becker,77.0,61.0,220.0
D. Rangelov,69.0,67.0,189.0
M. Oxley,55.0,51.0,137.0
B. Coker,71.0,60.0,205.0
Sim Sang Min,71.0,66.0,209.0
H. Zuck,82.0,64.0,221.0
H. Zapata,80.0,65.0,221.0
C. Lines,60.0,59.0,172.0
M. Sollbauer,56.0,55.0,147.0
R. Jansson,54.0,53.0,167.0
A. Guido,65.0,66.0,199.0
I. González,68.0,54.0,192.0
H. Al Hazaa,69.0,62.0,210.0
F. Castillón,79.0,64.0,220.0
W. Harding,50.0,63.0,184.0
G. Tansey,68.0,64.0,198.0
H. Ojamaa,74.0,55.0,214.0
M. Ríos,54.0,48.0,174.0
M. Tévez,83.0,61.0,226.0
E. Sosa,78.0,61.0,214.0
T. Lapslie,66.0,63.0,191.0
M. Sauer,73.0,55.0,206.0
R. Descamps,29.0,61.0,123.0
J. Álvarez,72.0,64.0,211.0
A. Ludwig,60.0,64.0,186.0
C. Dunne,79.0,62.0,224.0
L. Rodríguez,80.0,56.0,211.0
J. Gómez,54.0,57.0,162.0
J. Aribo,81.0,60.0,220.0
Gabriel,52.0,65.0,181.0
C. Machado,63.0,65.0,197.0
L. Kruse,41.0,63.0,157.0
S. McConville,73.0,61.0,212.0
D. Drocco,75.0,67.0,216.0
A. Sušac,57.0,64.0,181.0
M. Perlak,69.0,71.0,210.0
B. Clarke,89.0,64.0,218.0
Eduardo,41.0,59.0,152.0
K. Dawson,65.0,58.0,210.0
H. McGahey,46.0,53.0,177.0
Gu Chao,39.0,65.0,155.0
R. Caballero,68.0,60.0,195.0
Ever Rodeiro,70.0,60.0,195.0
X. Arreaga,42.0,44.0,146.0
C. Cercado,56.0,61.0,171.0
H. Al Raheb,68.0,60.0,205.0
C. Schuler,33.0,60.0,130.0
S. Mantom,66.0,64.0,194.0
O. Bouy,61.0,62.0,187.0
J. Dongou Tsafack,90.0,64.0,239.0
P. Mainka,53.0,61.0,165.0
A. Kantari,53.0,60.0,156.0
T. Mavromatis,52.0,56.0,167.0
Li Lei,65.0,65.0,202.0
Raphael Doninho,80.0,72.0,226.0
K. Bülow,52.0,66.0,156.0
R. Magyar,58.0,63.0,172.0
F. Brillant,45.0,62.0,141.0
K. Tamada,72.0,65.0,202.0
M. Ballmert,82.0,67.0,224.0
M. Laínez,77.0,56.0,211.0
K. Mayi,79.0,65.0,226.0
N. Manfredini,37.0,55.0,141.0
K. Koizumi,64.0,56.0,196.0
C. Aneke,52.0,60.0,155.0
Juan Cruz,68.0,59.0,201.0
S. Olivarez,59.0,61.0,178.0
P. Gladon,54.0,66.0,168.0
E. Aydoğan,75.0,63.0,208.0
V. Pule,72.0,52.0,198.0
Daniel Fuzato,32.0,64.0,127.0
G. Valverde,52.0,61.0,177.0
D. de Vries,29.0,64.0,126.0
A. Lithgow,56.0,58.0,173.0
L. Nicholls,42.0,65.0,147.0
R. Teibert,71.0,65.0,203.0
M. Figueroa,76.0,65.0,214.0
A. Nübel,34.0,64.0,147.0
Z. Al Sahafi,61.0,51.0,162.0
J. Schouten,65.0,67.0,202.0
R. Rep,56.0,57.0,185.0
M. Rubin,72.0,66.0,210.0
L. Guldan,56.0,52.0,146.0
C. Telo,85.0,61.0,225.0
M. Pearson,62.0,60.0,186.0
Ricardo Alves,60.0,62.0,193.0
T. Paredes,47.0,71.0,175.0
Kauã Reisende,58.0,55.0,184.0
L. Madrigal,38.0,62.0,146.0
Augusto César,67.0,71.0,214.0
D. Holm,73.0,61.0,199.0
Y. Akimoto,40.0,61.0,148.0
J. Beckford,65.0,65.0,192.0
N. Crovetto,72.0,57.0,198.0
Y. Maruyama,71.0,60.0,191.0
B. Jatta,68.0,49.0,195.0
G. Merebashvili,82.0,64.0,214.0
D. Vaughan,60.0,67.0,160.0
T. Mauricio,78.0,58.0,213.0
K. Dougall,64.0,64.0,202.0
D. Arreola,66.0,62.0,197.0
J. Cousins,78.0,64.0,218.0
J. Duma,81.0,57.0,220.0
T. Spurr,65.0,68.0,199.0
J. Martínez,69.0,47.0,194.0
C. Schoppenhauer,51.0,63.0,160.0
L. Roberts,44.0,60.0,149.0
M. Pellegrini,73.0,66.0,214.0
C. Schwegler,71.0,59.0,203.0
K. Petersen,55.0,57.0,149.0
J. Vet,53.0,64.0,181.0
H. Kawano,82.0,65.0,214.0
F. Stokkers,70.0,60.0,198.0
G. Gómez,29.0,60.0,122.0
M. Lund,58.0,61.0,186.0
M. Jankowski,76.0,67.0,216.0
A. Maisonnial,32.0,52.0,146.0
M. Lugo,68.0,70.0,191.0
D. Niwa,47.0,62.0,150.0
C. Riegler,32.0,62.0,122.0
R. Lundqvist,71.0,60.0,205.0
S. Muniru,63.0,66.0,193.0
Zhang Lu,56.0,68.0,186.0
J. Reeves,79.0,60.0,214.0
E. Ward,55.0,51.0,140.0
J. Tamm,35.0,62.0,152.0
M. Heylen,53.0,58.0,158.0
G. Gallon,38.0,56.0,134.0
T. Adarabioyo,58.0,57.0,165.0
L. Martin,76.0,55.0,202.0
F. Ferrari,49.0,58.0,154.0
Trujillo,64.0,62.0,181.0
Kim Yong Dae,52.0,58.0,160.0
E. Babayan,75.0,57.0,217.0
Diogo Santos,40.0,60.0,141.0
T. Borevković,31.0,57.0,138.0
J. Jacobson,77.0,60.0,209.0
Benja,51.0,61.0,157.0
D. Phillips,30.0,54.0,132.0
G. Aburjania,58.0,67.0,184.0
J. Riley,64.0,63.0,202.0
A. Matějů,70.0,61.0,205.0
Filipe Brigues,64.0,62.0,193.0
J. Zelený,55.0,64.0,191.0
S. Svendsen,77.0,61.0,222.0
J. Moreno,43.0,62.0,160.0
R. Bushiri,43.0,60.0,165.0
H. Rivero,55.0,63.0,176.0
M. Grella,69.0,68.0,199.0
I. Lanni,60.0,66.0,164.0
A. Sané,63.0,57.0,192.0
F. Castillo,71.0,60.0,200.0
M. Galmarini,68.0,63.0,207.0
A. Monfray,70.0,63.0,195.0
B. Castillo,37.0,64.0,135.0
S. Diop,82.0,59.0,217.0
Yin Hongbo,69.0,60.0,201.0
A. Hainault,56.0,62.0,161.0
D. Čotra,73.0,63.0,206.0
C. Washington,75.0,64.0,215.0
F. Nimani,57.0,64.0,191.0
M. Macey,37.0,59.0,134.0
M. Doyle,59.0,60.0,160.0
D. Raum,73.0,55.0,212.0
V. Retamal,64.0,65.0,198.0
A. Cruz,55.0,62.0,183.0
M. Bruscagin,73.0,61.0,189.0
C. Morris,66.0,54.0,192.0
A. Syhre,56.0,61.0,178.0
L. Paz,69.0,59.0,202.0
L. Dos Santos,63.0,58.0,177.0
A. Akinfenwa,35.0,61.0,134.0
Jin Jingdao,70.0,73.0,214.0
F. Bonazzoli,68.0,61.0,200.0
B. Tetteh,67.0,58.0,196.0
J. Grot,45.0,58.0,175.0
G. Notsuda,88.0,64.0,227.0
D. Jones,56.0,64.0,189.0
N. Hansen,69.0,60.0,212.0
T. Beltran,62.0,63.0,201.0
D. Peitz,30.0,59.0,118.0
D. Starkl,80.0,63.0,226.0
D. Erdmann,49.0,63.0,166.0
J. Vela,71.0,58.0,206.0
A. Jakobsen,83.0,53.0,211.0
J. Segura,46.0,59.0,150.0
R. Miller,62.0,62.0,193.0
U. Cardona,72.0,55.0,206.0
J. Karacan,73.0,67.0,213.0
L. Saldaña,73.0,71.0,228.0
G. Roberts,67.0,55.0,174.0
K. Bennett,90.0,62.0,239.0
C. Tanner,85.0,63.0,227.0
S. Ernst,74.0,62.0,213.0
B. Akintola,87.0,57.0,235.0
A. Taylor,61.0,65.0,179.0
K. Yonekura,67.0,74.0,185.0
Rúben Vinagre,79.0,58.0,224.0
M. Drudi,59.0,65.0,191.0
K. Ilsø,75.0,66.0,215.0
V. Moren,50.0,65.0,147.0
Lucas,61.0,61.0,177.0
J. Norwood,68.0,51.0,189.0
P. Frick,69.0,67.0,211.0
I. Ssewankambo,75.0,58.0,219.0
T. Skarke,77.0,59.0,215.0
Luis Marleiro,68.0,56.0,209.0
M. Pulkrab,66.0,65.0,200.0
L. Brown,64.0,60.0,193.0
R. Gaddis,78.0,62.0,219.0
Lee Yeong Jae,66.0,65.0,196.0
F. Sakala,76.0,58.0,221.0
Park Jun Tae,92.0,65.0,248.0
N. Saint-Ruf,59.0,63.0,188.0
A. Lienhart,50.0,62.0,175.0
M. Sema,87.0,62.0,230.0
M. Bennett,74.0,63.0,224.0
N. Hasler,73.0,65.0,204.0
Q. Moll,59.0,59.0,182.0
M. Woods,74.0,64.0,213.0
D. Templeton,76.0,60.0,214.0
Lim Sang Hyub,80.0,69.0,220.0
M. Rivero,82.0,68.0,224.0
S. Yamamoto,59.0,63.0,176.0
J. Biada,75.0,64.0,214.0
M. Torres,73.0,64.0,213.0
R. Janicki,52.0,55.0,159.0
D. Mahmudov,76.0,61.0,209.0
Aitor,64.0,62.0,196.0
A. Vukotić,46.0,60.0,145.0
M. Marshall,92.0,49.0,231.0
N. Mohammed,88.0,56.0,231.0
J. Walsh,67.0,59.0,188.0
T. Bergmann,69.0,62.0,194.0
Jony Ñíguez,70.0,67.0,201.0
P. Carlgren,48.0,73.0,154.0
J. Rossiter,69.0,61.0,191.0
S. Sy,35.0,59.0,153.0
C. Gonzáles,70.0,63.0,201.0
R. Nagaki,72.0,61.0,179.0
M. Al Shalhoub,62.0,62.0,157.0
A. Le Tallec,47.0,66.0,168.0
D. Vidošić,67.0,60.0,197.0
C. Guerra,32.0,67.0,141.0
M. Koné,79.0,70.0,239.0
Isidoro,75.0,61.0,206.0
O. Halvorsen,67.0,60.0,203.0
F. Ciampichetti,64.0,62.0,181.0
Li Ang,55.0,62.0,174.0
P. Kurzweg,80.0,62.0,224.0
Cho Won Hee,62.0,64.0,195.0
J. Drolè,89.0,51.0,231.0
C. Itten,58.0,63.0,194.0
R. Guitane,81.0,62.0,220.0
J. Ojala,49.0,64.0,165.0
J. Abarca,61.0,59.0,189.0
M. González,62.0,68.0,185.0
E. Ómarsson,75.0,59.0,221.0
T. Hasegawa,93.0,70.0,254.0
A. Diawusie,77.0,65.0,231.0
I. Khalili,70.0,58.0,200.0
J. Żubrowski,66.0,60.0,190.0
M. Štěch,38.0,51.0,127.0
O. Benítez,37.0,60.0,146.0
A. Buksa,62.0,54.0,183.0
K. Tokura,64.0,70.0,207.0
C. Madu,54.0,62.0,183.0
T. van de Pavert,55.0,58.0,165.0
W. Keane,71.0,55.0,186.0
S. Branca,69.0,67.0,209.0
N. Antonitsch,63.0,50.0,168.0
T. Umesaki,74.0,61.0,204.0
A. Nakamura,80.0,58.0,199.0
N. Thompson,74.0,60.0,205.0
A. Kolev,73.0,64.0,214.0
G. Bijl,52.0,62.0,185.0
C. Gunter,71.0,59.0,205.0
A. Marin,55.0,55.0,160.0
J. Gatt,76.0,65.0,231.0
D. Miloc,68.0,67.0,197.0
M. Wostry,57.0,59.0,161.0
K. Moriya,87.0,67.0,226.0
A. Sigurðarson,76.0,62.0,219.0
D. Lowe,50.0,62.0,175.0
Milton Raphael,28.0,56.0,110.0
B. Blume,78.0,65.0,219.0
Jordi Quintillà,78.0,64.0,208.0
C. Doucouré,74.0,62.0,205.0
Andrés Prieto,33.0,57.0,127.0
Isaac Carcelén,71.0,60.0,206.0
Y. Nakano,75.0,59.0,222.0
L. Schwechlen,56.0,66.0,182.0
Jonatan Lucca,43.0,65.0,163.0
L. Hufnagel,79.0,65.0,219.0
J. Rothwell,69.0,59.0,196.0
J. Rodríguez,77.0,64.0,225.0
A. Claude Maurice,84.0,56.0,227.0
R. Taylor,66.0,57.0,174.0
M. Mešanović,70.0,69.0,212.0
G. Plet,61.0,65.0,169.0
B. Dickenson,80.0,55.0,219.0
T. Takagi,76.0,60.0,223.0
D. Thopola,66.0,54.0,189.0
J. Juelsgård,67.0,66.0,195.0
A. Traoré,76.0,63.0,223.0
G. Sandoval,61.0,72.0,177.0
S. Mpontshane,33.0,52.0,133.0
C. McCann,62.0,68.0,187.0
O. Bozanic,76.0,61.0,213.0
L. Lezzerini,39.0,68.0,153.0
M. Yaghoubi,50.0,56.0,170.0
Joni Montiel,60.0,61.0,186.0
D. Gorter,72.0,66.0,203.0
T. Mears,66.0,64.0,196.0
S. Diakité,71.0,65.0,209.0
R. Mulumba,58.0,61.0,174.0
M. Høibråten,63.0,65.0,195.0
M. Lackner,67.0,57.0,174.0
M. Domínguez,74.0,64.0,207.0
O. Käuper,62.0,67.0,192.0
A. Al Salem,66.0,61.0,194.0
R. Vanegas,81.0,61.0,227.0
Pablo Larrea,71.0,63.0,198.0
L. Craig,64.0,64.0,204.0
D. Gomis,64.0,56.0,192.0
N. Blackman,78.0,62.0,215.0
F. Kaufmann,77.0,63.0,226.0
J. Ginnelly,87.0,56.0,235.0
L. Nmecha,70.0,54.0,199.0
I. Alhassan,63.0,65.0,193.0
L. Crecco,57.0,72.0,196.0
D. Charles,72.0,57.0,172.0
Cris Salvador,66.0,61.0,188.0
R. Benson,87.0,55.0,217.0
R. Riski,85.0,58.0,226.0
K. Hafez,66.0,60.0,202.0
C. Harriott,83.0,61.0,229.0
T. Belmonte,66.0,65.0,198.0
B. Eleke,63.0,48.0,174.0
O. Beckles,65.0,66.0,205.0
Park Jin Po,83.0,70.0,235.0
T. Naylor,68.0,62.0,192.0
G. Kiltie,79.0,64.0,213.0
R. Shirasaki,73.0,67.0,210.0
T. Charles,55.0,61.0,161.0
A. Falatah,70.0,61.0,203.0
I. Tarasovs,55.0,61.0,183.0
P. Stolarski,73.0,55.0,212.0
M. Odjer,77.0,69.0,234.0
B. Niňaj,44.0,64.0,140.0
Crysan,75.0,62.0,210.0
O. Eddahri,78.0,61.0,207.0
J. Obika,65.0,58.0,194.0
T. Zhamaletdinov,72.0,58.0,208.0
K. Mets,57.0,62.0,173.0
M. Coulibaly,69.0,65.0,203.0
D. Mayor,82.0,57.0,210.0
H. Pell,57.0,65.0,191.0
S. McQueen,70.0,62.0,201.0
L. Michel,70.0,71.0,191.0
C. Lykogiannis,43.0,60.0,177.0
S. Hertner,70.0,64.0,207.0
Arturo Molina,54.0,58.0,184.0
C. Warner,73.0,65.0,193.0
V. Prodell,57.0,66.0,194.0
T. Renault,46.0,62.0,153.0
A. Muyl,77.0,61.0,218.0
E. Apeh,70.0,59.0,201.0
Alex Pozo,82.0,55.0,212.0
D. Kikuchi,75.0,63.0,218.0
R. Austin,33.0,53.0,122.0
M. Machaj,81.0,62.0,205.0
H. Radetinac,62.0,64.0,182.0
M. Mikić,74.0,63.0,200.0
M. Guevgeozián,59.0,70.0,182.0
G. Viscarra,23.0,51.0,100.0
I. Lapshov,70.0,65.0,200.0
E. Fejzullahu,72.0,64.0,207.0
J. Ekstrand,42.0,59.0,144.0
G. Rolando,70.0,61.0,210.0
R. Inniss,30.0,55.0,121.0
T. Yamashita,60.0,62.0,182.0
X. Emmers,52.0,63.0,184.0
L. Morgan,84.0,49.0,220.0
W. Kvist,60.0,68.0,171.0
B. Jayiya,70.0,67.0,218.0
J. Huyghebaert,68.0,63.0,198.0
José Ángel,62.0,68.0,190.0
Y. Hurtado,70.0,56.0,194.0
J. González,70.0,57.0,194.0
R. Söder,82.0,71.0,229.0
Choi Bo Kyung,71.0,68.0,204.0
A. Hadouir,70.0,58.0,199.0
He Chao,74.0,68.0,196.0
M. Booysen,58.0,59.0,189.0
C. Main,63.0,59.0,192.0
J. Grimmer,78.0,57.0,213.0
A. Kann,30.0,62.0,134.0
M. Lepe,54.0,66.0,178.0
J. Bandowski,64.0,63.0,210.0
Nelson Ferreira,82.0,59.0,206.0
A. Matuszczyk,70.0,61.0,195.0
D. Stahl,64.0,63.0,194.0
Yun Il Lok,74.0,66.0,212.0
R. McLaughlin,74.0,60.0,217.0
P. Joosten,82.0,63.0,225.0
G. Magnani,54.0,50.0,159.0
F. Bong,45.0,57.0,155.0
M. Restrepo,69.0,68.0,193.0
T. Akindele,74.0,60.0,215.0
R. van der Meer,48.0,63.0,173.0
R. Gartler,65.0,59.0,187.0
C. Lobos,68.0,62.0,201.0
R. Cierzniak,58.0,58.0,152.0
M. Abdellaoue,78.0,68.0,211.0
L. Novak,62.0,62.0,179.0
Jung Seung Yong,78.0,66.0,216.0
L. Gugganig,56.0,67.0,179.0
A. Donnarumma,30.0,62.0,105.0
P. Steinhart,71.0,49.0,194.0
Olavide,70.0,60.0,189.0
C. Jakobsen,76.0,59.0,209.0
Berrocal,63.0,60.0,186.0
R. Amaral,59.0,55.0,174.0
Abdón,78.0,61.0,209.0
A. Al Mayoof,43.0,68.0,161.0
A. Paleari,49.0,48.0,128.0
José Lara,66.0,58.0,196.0
A. Juel Andersen,67.0,55.0,199.0
G. Vadalá,86.0,54.0,218.0
Borja Sánchez,69.0,60.0,195.0
A. Ogogo,73.0,64.0,208.0
D. Pratley,67.0,72.0,192.0
K. Takayama,77.0,68.0,207.0
S. Bakış,44.0,68.0,156.0
Dani Martín,40.0,63.0,151.0
Zhang Wenzhao,75.0,64.0,219.0
C. Goodwin,77.0,60.0,212.0
J. Becerra,87.0,62.0,235.0
C. Bravo,80.0,62.0,223.0
V. Ramis,66.0,58.0,194.0
F. Torres,85.0,63.0,209.0
M. Mihara,57.0,66.0,184.0
T. Flanagan,70.0,61.0,193.0
L. Thompson,74.0,62.0,204.0
A. Schlager,32.0,57.0,114.0
J. Kaprof,71.0,62.0,206.0
L. Mulholland,55.0,68.0,185.0
S. Aasmundsen,72.0,67.0,195.0
C. Ejuke,92.0,58.0,243.0
F. Apaolaza,68.0,54.0,191.0
E. Butin,72.0,69.0,210.0
J. Fitzwater,64.0,57.0,188.0
M. Cholewiak,63.0,61.0,213.0
C. Schösswendter,35.0,52.0,138.0
R. Klaasen,64.0,61.0,192.0
P. Pervan,36.0,52.0,120.0
M. de Jong,66.0,65.0,194.0
Corpas,75.0,52.0,201.0
A. Lukse,32.0,62.0,137.0
A. Wittwer,74.0,60.0,209.0
E. Ebanks-Landell,54.0,58.0,167.0
S. Gündüz,81.0,68.0,227.0
A. Uryga,45.0,63.0,157.0
J. Absalonsen,67.0,65.0,200.0
J. Willis,52.0,60.0,159.0
E. Brophy,78.0,59.0,216.0
T. Hübers,48.0,55.0,166.0
Q. Laçi,77.0,60.0,211.0
T. Mohamad,66.0,61.0,193.0
Dyjan Azevedo,64.0,53.0,188.0
L. Palmer,76.0,64.0,214.0
F. Evangelista,64.0,62.0,191.0
Óscar Pinchi,73.0,62.0,204.0
Z. Laaroubi,36.0,54.0,104.0
M. Palacios,68.0,58.0,212.0
Borja,67.0,64.0,203.0
F. Vanzo,68.0,64.0,199.0
A. Zapata,63.0,64.0,188.0
S. Szmodics,87.0,55.0,225.0
A. Trusty,57.0,63.0,196.0
Ryu Won Woo,33.0,57.0,125.0
F. Dick,58.0,65.0,180.0
D. Rose,86.0,62.0,225.0
M. Oesterhelweg,70.0,60.0,214.0
D. Mignanelli,77.0,65.0,216.0
Lee Jong Ho,72.0,65.0,209.0
Z. Clark,57.0,55.0,143.0
S. Stevens,42.0,71.0,151.0
Sergio Gil,69.0,60.0,192.0
U. Zeybek,75.0,55.0,199.0
A. Acosta,70.0,56.0,206.0
K. Oi,75.0,52.0,179.0
Y. Sari,77.0,72.0,230.0
M. Ruiz,59.0,66.0,198.0
L. Holmes,82.0,61.0,219.0
D. Powers,59.0,65.0,184.0
S. Henderson,47.0,70.0,163.0
S. Scougall,72.0,56.0,204.0
Cho Yong Hyung,50.0,64.0,172.0
Cho Young Wook,74.0,67.0,223.0
H. Koffi,40.0,68.0,143.0
S. Sandberg,64.0,65.0,196.0
T. Gabuza,51.0,50.0,174.0
P. Muñoz,82.0,64.0,228.0
C. MacGillivray,47.0,61.0,159.0
C. Arcus,58.0,53.0,181.0
A. Dercho,66.0,64.0,201.0
H. Hauger,67.0,67.0,187.0
Manu,69.0,64.0,201.0
J. Leko,78.0,57.0,223.0
J. Aguirre,40.0,64.0,142.0
Kim Chang Soo,66.0,66.0,201.0
L. Ćirković,43.0,61.0,171.0
Isma Cerro,74.0,67.0,216.0
E. Castillo,77.0,58.0,214.0
P. Downing,44.0,58.0,166.0
R. Vollath,38.0,64.0,139.0
A. Munksgaard,72.0,64.0,208.0
M. Ogbu,71.0,58.0,203.0
Jang Ho Ik,81.0,66.0,227.0
K. Bartolec,79.0,59.0,218.0
G. Malcore,59.0,63.0,189.0
V. Gvilia,58.0,65.0,186.0
D. Burnić,75.0,66.0,210.0
A. Öztürk,44.0,55.0,151.0
K. Taketomi,82.0,60.0,203.0
M. Mancosu,65.0,71.0,205.0
D. Jaković,32.0,59.0,130.0
M. Saeid,81.0,68.0,223.0
U. Taffertshofer,62.0,65.0,188.0
A. Medina,92.0,63.0,239.0
M. Papadopulos,63.0,65.0,191.0
N. Zaniolo,46.0,63.0,173.0
F. Montero,66.0,68.0,200.0
J. Vuković,59.0,67.0,184.0
E. Barli,59.0,63.0,151.0
G. Carrasco,69.0,60.0,202.0
A. Balijon,43.0,55.0,132.0
I. Saavedra,72.0,68.0,207.0
Z. Janjić,69.0,60.0,197.0
J. Skjelvik,73.0,63.0,226.0
K. Kamiński,38.0,56.0,124.0
M. Endres,43.0,64.0,153.0
B. Delacourt,63.0,63.0,192.0
C. Rismark,48.0,64.0,171.0
A. Ligi,60.0,61.0,175.0
D. Lachman,43.0,57.0,150.0
M. Riascos,72.0,59.0,216.0
L. Vignali,61.0,63.0,192.0
S. Skålevik,58.0,62.0,192.0
M. Djetei,68.0,58.0,194.0
A. Fuchs,67.0,67.0,201.0
M. Könnecke,81.0,63.0,234.0
E. Yao Guy,61.0,59.0,189.0
G. Burke,71.0,60.0,194.0
C. Hemlein,72.0,61.0,213.0
D. Anderson,70.0,57.0,201.0
M. Døhr Thychosen,72.0,64.0,215.0
A. Nordvik,73.0,62.0,209.0
D. Thomalla,69.0,66.0,203.0
P. Parzyszek,65.0,67.0,197.0
M. Fornasier,50.0,59.0,159.0
Michel Douglas,38.0,64.0,169.0
Álex Cobo,61.0,59.0,165.0
M. Çelik,79.0,63.0,219.0
L. Woudenberg,65.0,63.0,198.0
T. Tekie,92.0,64.0,232.0
D. Vega,78.0,58.0,218.0
N. Rusyn,55.0,70.0,195.0
Víctor,61.0,51.0,184.0
A. Deja,58.0,63.0,190.0
F. Cornejo,71.0,61.0,196.0
A. Balboa,56.0,60.0,166.0
D. Edwards,61.0,72.0,188.0
R. Vargas,79.0,63.0,213.0
F. Rherras,77.0,61.0,212.0
Gu Sung Yun,36.0,63.0,127.0
C. Mavrias,73.0,59.0,210.0
E. Martinez,74.0,64.0,204.0
Lee Chang Geun,61.0,64.0,170.0
M. Mohsen,55.0,52.0,173.0
A. Gómez,69.0,61.0,219.0
N. Ramírez,56.0,56.0,170.0
C. Gebauer,62.0,57.0,201.0
C. Knett,41.0,64.0,133.0
K. Naismith,75.0,59.0,211.0
Rober Correa,70.0,58.0,196.0
C. Escobar,63.0,62.0,192.0
J. Smeets,67.0,66.0,199.0
Borja Galán,37.0,66.0,155.0
J. Intriago,66.0,63.0,200.0
D. Sjölund,60.0,68.0,158.0
E. Bonifacio,74.0,63.0,209.0
Lee Ho Seung,36.0,63.0,132.0
G. Hein,90.0,60.0,232.0
H. Abe,80.0,55.0,226.0
A. De Bruyn,73.0,55.0,203.0
J. Akinde,62.0,65.0,201.0
D. McGregor,30.0,57.0,156.0
G. Villarruel,79.0,60.0,215.0
Pastrana,73.0,58.0,206.0
Teixeira José,78.0,59.0,216.0
A. Fernández,66.0,63.0,195.0
J. Devecchi,36.0,63.0,146.0
C. Früchtl,26.0,49.0,100.0
I. Rondanini,65.0,59.0,204.0
W. Creavalle,73.0,64.0,213.0
A. Considine,46.0,59.0,141.0
J. Vitale,53.0,52.0,155.0
J. Ryerson,78.0,58.0,205.0
J. Ríos,68.0,62.0,204.0
K. Dabila,48.0,51.0,158.0
Avilés,52.0,58.0,178.0
No Dong Geon,48.0,59.0,150.0
Benjamin Muscato,52.0,48.0,161.0
N. Topor-Stanley,32.0,60.0,124.0
P. Clement,78.0,64.0,215.0
H. Toffolo,68.0,61.0,205.0
C. Colkett,58.0,57.0,179.0
B. Çamoğlu,84.0,64.0,234.0
Yang Dong Hyen,67.0,64.0,184.0
S. Tetteh,69.0,50.0,193.0
A. Dobos,69.0,54.0,200.0
J. Mason,73.0,65.0,201.0
Lee Woong Hee,70.0,60.0,199.0
C. Lavery,77.0,61.0,213.0
M. Savastano,67.0,62.0,204.0
N. Granatowski,87.0,60.0,223.0
M. Stiefler,75.0,65.0,212.0
L. Pavez,80.0,53.0,213.0
S. Román,34.0,52.0,127.0
M. Bakker,74.0,60.0,210.0
A. Sambi Lokonga,81.0,59.0,211.0
M. Pérez Acuña,76.0,65.0,212.0
K. Dempsey,69.0,55.0,197.0
Lee You Hyeon,69.0,66.0,207.0
Y. Quintana,37.0,62.0,158.0
B. Knighton,39.0,65.0,163.0
R. Bennett,69.0,58.0,201.0
A. Lonergan,50.0,65.0,155.0
B. Sverrisson,78.0,65.0,213.0
D. Forde,33.0,60.0,138.0
H. Gong,75.0,58.0,223.0
T. Kupisz,76.0,64.0,217.0
M. Abusabaan,71.0,65.0,202.0
C. Amaya,78.0,61.0,213.0
Wu Yake,35.0,61.0,141.0
M. Schulz,62.0,61.0,173.0
O. Rojas,67.0,66.0,199.0
P. Jaroszyński,52.0,64.0,191.0
L. Reed,75.0,56.0,201.0
T. Elrich,66.0,61.0,196.0
M. Malaeka,30.0,58.0,134.0
C. Rentería,59.0,68.0,189.0
S. Cox,65.0,62.0,185.0
A. Mannus,41.0,56.0,129.0
P. Jaeckel,60.0,59.0,173.0
J. Bijol,53.0,58.0,168.0
Z. Kozulj,70.0,62.0,203.0
Song Jin Hyung,78.0,63.0,216.0
C. Duvall,68.0,59.0,201.0
R. Williams,83.0,48.0,214.0
M. Naamani,49.0,65.0,158.0
M. Gollner,56.0,55.0,171.0
D. Pedersen,71.0,54.0,191.0
O. Berber,66.0,61.0,203.0
Steven Vitória,32.0,68.0,133.0
B. Stokke,40.0,61.0,153.0
M. Ospitalieri,56.0,54.0,171.0
J. Haugaard,38.0,64.0,146.0
S. Mauk,72.0,61.0,202.0
Óscar Whalley,36.0,57.0,135.0
S. O'Donnell,56.0,62.0,170.0
Marquinhos Cipriano,73.0,67.0,223.0
I. Vassell,74.0,62.0,223.0
T. Lehne Olsen,64.0,57.0,198.0
S. Pontisso,62.0,63.0,189.0
Henrique Jardinel,58.0,69.0,169.0
C. Almeida,55.0,62.0,178.0
R. Yalçın,65.0,65.0,194.0
